no,kategori,subkategori,location/city,nama,deskripsi,address,contact,url,lat,lng
1,Media Partner,Agriculture,-,Agrilabs.id,Kami sedang mengembangkan teknologi untuk membantu perusahaan perkebunan mengurangi biaya pemupukan dengan mengenali wawasan nutrisi tanaman menggunakan algoritma kami. Hal ini membantu mereka mencapai efisiensi biaya dan optimalisasi hasil untuk menjamin ketahanan pangan dan menjalankan pertanian yang tepat dan berkelanjutan.,,,,,
2,Media Partner,Agriculture,-,Agronesian,"Agronesian adalah perusahaan startup pertanian Indonesia yang menyediakan berbagai produk alam terbaik dari beberapa desa, Kami memproduksi dan mengolah produk pertanian dari bahan baku dan bahan olahan lainnya dengan menggunakan teknologi terkini.",,,,,
3,Media Partner,Agriculture,-,Petani Hobi Party,Petani Hobi Party merupakan peternakan unggas millenial Indonesia yang mengutamakan budidaya Maggot / BSF sebagai pakan hewan ternak agar lebih efisien dan lebih memperkuat pemasaran digital yang membuka jangkauan pasar lebih luas dalam rangka mengambil peluang rendahnya efektivitas peternak konvensional.,,,,,
4,Media Partner,Agriculture,-,Ternaknesia,"Ternaknesia adalah solusi menyeluruh bagi peternak untuk memulai, meningkatkan skala, dan menjual produk mereka",,,,,
5,Media Partner,Agriculture,-,OKE Garden,Oke Garden adalah platform digital yang menyediakan layanan berkebun yang lebih baik. dibantu dengan teknologi kami mampu menghubungkan pelanggan kami dengan tukang kebun yang berkompeten dan produk dari petani tanaman hias,,,,,
6,Media Partner,Agriculture,-,AgUnity,"AgUnity mendigitalkan rantai nilai pertanian di seluruh Asia Tenggara. Mengatasi masalah konektivitas yang buruk, kurangnya literasi digital, dan kurangnya kepercayaan, AgUnity menerapkan solusi berbasis ponsel pintar dan blockchain kepada petani kecil dan koperasi untuk meningkatkan akses mereka terhadap layanan digital.",,,,,
7,Media Partner,Agriculture,-,KisahTani,"Startup pangan yang bertujuan untuk memberikan kebebasan kepada petani melalui 3 hal utama: akses pasar, akses permodalan, dan akses teknologi serta layanan",,,,,
8,Media Partner,Agriculture,-,Magalarva,Magalarva menghasilkan protein berkelanjutan bagi peternak dan produsen pakan dengan mengubah sampah organik,,,,,
9,Media Partner,Agriculture,-,FishLog,"FishLog fokus pada solusi rantai nilai perikanan pascapanen. Memungkinkan jaringan rantai dingin perikanan nasional, menciptakan transaksi perdagangan yang transparan dan adil secara berkelanjutan melalui teknologi.",,,,,
10,Media Partner,Agriculture,-,AMX UAV,"AMX UAV memiliki bisnis inti di bidang manufaktur dan penelitian kendaraan pesawat tak berawak atau drone. Tujuan utama AMX UAV sejak didirikan pada tahun 2018 adalah memiliki produk drone penelitian dan pengembangan sendiri. Produk dari AMX memiliki filosofi yang dapat diandalkan, mudah digunakan, dan sederhana dalam desain. Setelah 3 tahun melakukan penelitian dan pengembangan, pada bulan Maret 2021 AMX UAV meluncurkan produk drone dengan kemampuan vertical take-off and landing (VTOL) yang diberi nama AMX Vertic. Untuk mendukung pembuatan dan penelitian drone, AMX UAV memiliki bisnis aplikasi dan layanan pelatihan drone. Kami telah dipercaya untuk melakukan pemetaan udara di beberapa proyek dalam negeri seperti di Kalimantan dan Jawa. Bahkan di penghujung tahun 2019 UAV AMX dipercaya untuk melaksanakan proyek pemetaan udara hutan tanaman industri di luar negeri, di Pulau Luzon, Filipina. Menjadikan kami salah satu operator drone Indonesia yang “Go International”.",,,,,
11,Media Partner,Agriculture,-,Sgara,"Sgara adalah sistem manajemen tambak udang bertenaga AI berbasis web dan seluler yang meningkatkan budidaya dengan membuat rencana untuk siklus mendatang setiap tambak. Seiring berjalannya siklus budidaya, sistem dapat merekomendasikan program pemberian pakan dan pengolahan air yang disesuaikan untuk memastikan hasil yang optimal.",,,,,
12,Media Partner,Bank & Finance,-,AYOREAL,Kami adalah APERD (Agen Penjual Reksa Dana) Pertama yang Menggunakan Blockchain,,,,,
13,Media Partner,Bank & Finance,-,Credibook,CrediBook merupakan startup pembukuan yang fokus pada digitalisasi lebih dari 60 juta UKM di Indonesia,,,,,
14,Media Partner,Bank & Finance,-,HiPajak,HiPajak adalah salah satu aplikasi bantuan perpajakan untuk UMKM di Indonesia dengan menggunakan Artificial dan Human Intelligence.,,,,,
